id,Material,Item,Brand,Notes
2162577,Plastic,Food Wrapper,7-Eleven,
2148016,Plastic,Cigarette,Ace,
2148020,Plastic,Cigarette,Ace,
2150027,Metal ,Beverage Can,Bud Light,
2150092,Paper,Tag,Home Depot,
2148034,Plastic,Food Wrapper,Kit-Kat,
2148035,Plasitc,Cigarette,Marlboro,
2148009,Plastic,Cigarette,Marlboro,
2148010,Plastic,Cigarette,Marlboro,
2148026,Plastic,Cigarette,Marlboro,
2148028,Plastic,Cigarette,Marlboro,
2148036,Plastic,Cigarette,Marlboro,
2162605,Plastic,Cigarette,Marlboro,
2162616,Plastic,Cigarette,Marlboro,
2162618,Plastic,Cigarette,Marlboro,
2162619,Plastic,Cigarette,Marlboro,
2162620,Plastic,Cigarette,Marlboro,
2148033,Plastic ,Cigarette,Marlboro,
2148018,Plastic,Food Wrapper,Munchies,
2162617,Plastic,Food Wrapper,Planters,
2148025,Plastic,Beverage Bottle,Stater Bros,
2150032,Paper,Cup,Subway,
2148022,Plastic,Food Wrapper,Taco Bell,
2150100,Plastic,Bag of Trash,,
2148024,Plastic,Bottle Cap,,
2162580,Plastic,Bottle Cap,,
2150040,Plastic ,Bottle Cap,,
2162578,Paper,Confetti ,,
2148015,Paper,Flyer,,
2150061,Paper,Flyer,,
2148013,Paper,Food Wrapper,,
2148021,Plastic,Food Wrapper,,
2148037,Paper,Gum Wrapper,,
2148011,Paper,Label,,
2162575,Paper,Receipt,,
2162607,Paper,Sandpaper,,
2162579,Plastic,Straw,,
2150087,Paper,Tag,,
2148012,Paper,,,
2148014,Paper,,,
2150044,Paper,,,
2162593,Paper,,,
2150094,Plastic,,,
2162576,Styrofoam ,,,
